"","score","text"
"33",0,"RT @ourmaninchicago: I will give 20 American dollars to the reporter who asks Jeanne Ives about this tomorrow as she marches in the S Side‚Ä¶"
"34",0,"RT @NinaMorton: VOTE RED PENNSYLVANIA AND ILLINOIS!

Ì†ºÌ∑∫Ì†ºÌ∑∏Rick Saccone, March 13, PA Dist 18 for Congress

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives and Richard Morthland‚Ä¶"
"35",0,"RT @ourmaninchicago: I will give 20 American dollars to the reporter who asks Jeanne Ives about this tomorrow as she marches in the S Side‚Ä¶"
"36",0,"I will give 20 American dollars to the reporter who asks Jeanne Ives about this tomorrow as she marches in the S Si‚Ä¶ https://t.co/r7Y96ppr8y"
"37",0,"RT @NinaMorton: VOTE RED PENNSYLVANIA AND ILLINOIS!

Ì†ºÌ∑∫Ì†ºÌ∑∏Rick Saccone, March 13, PA Dist 18 for Congress

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives and Richard Morthland‚Ä¶"
"38",1,"RT @NinaMorton: MARCH ELECTIONS!  Please VOTE

Ì†ΩÌ¥¥March 13 PA 18 - Rick Saccone for US Congress
‚ö™Ô∏èMarch 13 TN 14 - Shane Reeves - supports PP‚Ä¶"
"39",-1,"RT @ourmaninchicago: Jeanne Ives: Immigrants are illegally applying for voting rights!

Also Jeanne Ives: Join me at the South Side Irish P‚Ä¶"
"40",-1,"RT @ourmaninchicago: Jeanne Ives: Immigrants are illegally applying for voting rights!

Also Jeanne Ives: Join me at the South Side Irish P‚Ä¶"
"41",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"42",0,"RT @NinaMorton: VOTE RED PENNSYLVANIA AND ILLINOIS!

Ì†ºÌ∑∫Ì†ºÌ∑∏Rick Saccone, March 13, PA Dist 18 for Congress

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives and Richard Morthland‚Ä¶"
"43",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"44",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"45",0,"RT @NinaMorton: VOTE RED PENNSYLVANIA AND ILLINOIS!

Ì†ºÌ∑∫Ì†ºÌ∑∏Rick Saccone, March 13, PA Dist 18 for Congress

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives and Richard Morthland‚Ä¶"
"46",1,"Jeanne Ives new ad where she compares Rauner to Obama made me laugh out loud. I sincerely hope she wins the primary."
"47",0,"RT @NinaMorton: VOTE RED PENNSYLVANIA AND ILLINOIS!

Ì†ºÌ∑∫Ì†ºÌ∑∏Rick Saccone, March 13, PA Dist 18 for Congress

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives and Richard Morthland‚Ä¶"
"48",0,"RT @NinaMorton: VOTE RED PENNSYLVANIA AND ILLINOIS!

Ì†ºÌ∑∫Ì†ºÌ∑∏Rick Saccone, March 13, PA Dist 18 for Congress

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives and Richard Morthland‚Ä¶"
"49",1,"Make Illinois Great Again! Vote Jeanne Ives for the Governor of Illinois! https://t.co/JEoQHCsfx6"
"50",0,"@DiamondandSilk More on my friend Jeanne Ives. She opposed taxpayer funded abortion and making Illinois a sanctuary‚Ä¶ https://t.co/7JSatvebYZ"
"51",0,"@DiamondandSilk Ladies, great job on Watters World! Now on to Illinois...we have a fake GOP Governor Bruce Rauner.‚Ä¶ https://t.co/0TWpTvIiqZ"
"52",0,"RT @NinaMorton: VOTE RED PENNSYLVANIA AND ILLINOIS!

Ì†ºÌ∑∫Ì†ºÌ∑∏Rick Saccone, March 13, PA Dist 18 for Congress

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives and Richard Morthland‚Ä¶"
"53",1,"RT @NinaMorton: MARCH ELECTIONS!  Please VOTE

Ì†ΩÌ¥¥March 13 PA 18 - Rick Saccone for US Congress
‚ö™Ô∏èMarch 13 TN 14 - Shane Reeves - supports PP‚Ä¶"
