OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,WINPERCENT,WINCATEGORY,TOTBALLOTSLINK,INPERSON,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3,CANDIDATE4,PARTY4,NUMVOTES4,PERCVOTE4,CANDIDATE5,PARTY5,NUMVOTES5,PERCVOTE5,Shape__Area,Shape__Length
12,827,IRVING,Fairfax,2016-11-17T10:58:50.000Z,stulad,827,IRVING,Fairfax County,Clinton / Kaine (D),0.16003498,10,2287,1689,2287,Clinton / Kaine (D),Clinton / Kaine (D),953,0.4167031,Trump / Pence (R),Trump / Pence (R),587,0.25666812,Johnson / Weld (L),Johnson / Weld (L),37,0.0161784,Stein / Baraka (G),Stein / Baraka (G),18,0.00787057,McMullin / Johnson (I),McMullin / Johnson (I),43,0.01880192,0.000258138680803,0.090898672195951
13,833,WHITE OAKS,Fairfax,2016-11-17T10:58:50.000Z,stulad,833,WHITE OAKS,Fairfax County,Clinton / Kaine (D),0.28340081,10,2470,1990,2470,Clinton / Kaine (D),Clinton / Kaine (D),1274,0.51578947,Trump / Pence (R),Trump / Pence (R),574,0.23238866,Johnson / Weld (L),Johnson / Weld (L),61,0.02469636,Stein / Baraka (G),Stein / Baraka (G),14,0.00566802,McMullin / Johnson (I),McMullin / Johnson (I),38,0.01538462,0.000241558933635,0.071020144411987
14,415,CRESTWOOD,Fairfax,2016-11-17T10:58:50.000Z,stulad,415,CRESTWOOD,Fairfax County,Clinton / Kaine (D),0.29183071,10,2032,1766,2032,Clinton / Kaine (D),Clinton / Kaine (D),1113,0.54773622,Trump / Pence (R),Trump / Pence (R),520,0.25590551,Johnson / Weld (L),Johnson / Weld (L),52,0.02559055,Stein / Baraka (G),Stein / Baraka (G),25,0.01230315,McMullin / Johnson (I),McMullin / Johnson (I),33,0.01624016,0.000322905100323,0.097202254835362
15,128,CARDINAL,Fairfax,2016-11-17T10:58:50.000Z,stulad,128,CARDINAL,Fairfax County,Clinton / Kaine (D),0.2469911,10,1911,1536,1911,Clinton / Kaine (D),Clinton / Kaine (D),942,0.49293564,Trump / Pence (R),Trump / Pence (R),470,0.24594453,Johnson / Weld (L),Johnson / Weld (L),34,0.01779173,Stein / Baraka (G),Stein / Baraka (G),20,0.01046572,McMullin / Johnson (I),McMullin / Johnson (I),30,0.01569859,0.000182275307092,0.141290353874511
16,801,BURKE,Fairfax,2016-11-17T10:58:50.000Z,stulad,801,BURKE,Fairfax County,Clinton / Kaine (D),0.2802795,10,3864,2982,3864,Clinton / Kaine (D),Clinton / Kaine (D),1916,0.49585921,Trump / Pence (R),Trump / Pence (R),833,0.21557971,Johnson / Weld (L),Johnson / Weld (L),92,0.02380952,Stein / Baraka (G),Stein / Baraka (G),21,0.00543478,McMullin / Johnson (I),McMullin / Johnson (I),71,0.01837474,0.000411524533151,0.112038941840327
17,127,BURKE CENTRE,Fairfax,2016-11-17T10:58:50.000Z,stulad,127,BURKE CENTRE,Fairfax County,Clinton / Kaine (D),0.25151682,10,3626,2940,3626,Clinton / Kaine (D),Clinton / Kaine (D),1802,0.49696635,Trump / Pence (R),Trump / Pence (R),890,0.24544953,Johnson / Weld (L),Johnson / Weld (L),93,0.0256481,Stein / Baraka (G),Stein / Baraka (G),30,0.00827358,McMullin / Johnson (I),McMullin / Johnson (I),73,0.02013238,0.000307689406571,0.0809601801447
18,105,FAIRVIEW,Fairfax,2016-11-17T10:58:50.000Z,stulad,105,FAIRVIEW,Fairfax County,Clinton / Kaine (D),0.21080806,10,3923,3056,3923,Clinton / Kaine (D),Clinton / Kaine (D),1819,0.46367576,Trump / Pence (R),Trump / Pence (R),992,0.2528677,Johnson / Weld (L),Johnson / Weld (L),93,0.02370635,Stein / Baraka (G),Stein / Baraka (G),33,0.00841193,McMullin / Johnson (I),McMullin / Johnson (I),57,0.0145297,0.000347842157051,0.080073911602639
19,401,BUSH HILL,Fairfax,2016-11-17T10:58:50.000Z,stulad,401,BUSH HILL,Fairfax County,Clinton / Kaine (D),0.24036364,10,2750,2143,2750,Clinton / Kaine (D),Clinton / Kaine (D),1324,0.48145455,Trump / Pence (R),Trump / Pence (R),663,0.24109091,Johnson / Weld (L),Johnson / Weld (L),54,0.01963636,Stein / Baraka (G),Stein / Baraka (G),16,0.00581818,McMullin / Johnson (I),McMullin / Johnson (I),53,0.01927273,0.000369550345031,0.080392800913899
20,402,CAMERON,Fairfax,2016-11-17T10:58:50.000Z,stulad,402,CAMERON,Fairfax County,Clinton / Kaine (D),0.32903226,30,930,771,930,Clinton / Kaine (D),Clinton / Kaine (D),506,0.54408602,Trump / Pence (R),Trump / Pence (R),200,0.21505376,Johnson / Weld (L),Johnson / Weld (L),21,0.02258065,Stein / Baraka (G),Stein / Baraka (G),5,0.00537634,McMullin / Johnson (I),McMullin / Johnson (I),14,0.01505376,0.000120937502854,0.051603245328734
21,125,SIGNAL HILL,Fairfax,2016-11-17T10:58:50.000Z,stulad,125,SIGNAL HILL,Fairfax County,Clinton / Kaine (D),0.19434899,10,2619,1934,2619,Clinton / Kaine (D),Clinton / Kaine (D),1151,0.43948072,Trump / Pence (R),Trump / Pence (R),642,0.24513173,Johnson / Weld (L),Johnson / Weld (L),56,0.02138221,Stein / Baraka (G),Stein / Baraka (G),11,0.00420008,McMullin / Johnson (I),McMullin / Johnson (I),30,0.01145475,0.00027428449359,0.078099869445597
