OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,WINPERCENT,WINCATEGORY,TOTBALLOTSLINK,INPERSON,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3,CANDIDATE4,PARTY4,NUMVOTES4,PERCVOTE4,CANDIDATE5,PARTY5,NUMVOTES5,PERCVOTE5,Shape__Area,Shape__Length
47,312,LONGFELLOW,Fairfax,2016-11-17T10:58:50.000Z,stulad,312,LONGFELLOW,Fairfax County,Clinton / Kaine (D),0.21644826,10,2213,1510,2213,Clinton / Kaine (D),Clinton / Kaine (D),919,0.41527338,Trump / Pence (R),Trump / Pence (R),440,0.19882512,Johnson / Weld (L),Johnson / Weld (L),35,0.01581563,Stein / Baraka (G),Stein / Baraka (G),10,0.00451875,McMullin / Johnson (I),McMullin / Johnson (I),66,0.02982377,0.000259651600236,0.085032476536241
48,714,WALKER,Fairfax,2016-11-17T10:58:50.000Z,stulad,714,WALKER,Fairfax County,Clinton / Kaine (D),0.28292862,10,2718,2100,2718,Clinton / Kaine (D),Clinton / Kaine (D),1365,0.50220751,Trump / Pence (R),Trump / Pence (R),596,0.21927888,Johnson / Weld (L),Johnson / Weld (L),55,0.02023547,Stein / Baraka (G),Stein / Baraka (G),15,0.00551876,McMullin / Johnson (I),McMullin / Johnson (I),43,0.01582046,0.000303652576886,0.083891315202808
49,315,PIMMIT,Fairfax,2016-11-17T10:58:50.000Z,stulad,315,PIMMIT,Fairfax County,Clinton / Kaine (D),0.26661544,10,2603,2168,2603,Clinton / Kaine (D),Clinton / Kaine (D),1342,0.51555897,Trump / Pence (R),Trump / Pence (R),648,0.24894353,Johnson / Weld (L),Johnson / Weld (L),53,0.02036112,Stein / Baraka (G),Stein / Baraka (G),26,0.00998847,McMullin / Johnson (I),McMullin / Johnson (I),66,0.02535536,0.000279382454863,0.072974248365152
50,310,KIRBY,Fairfax,2016-11-17T10:58:50.000Z,stulad,310,KIRBY,Fairfax County,Clinton / Kaine (D),0.23679822,10,1799,1192,1799,Clinton / Kaine (D),Clinton / Kaine (D),749,0.41634241,Trump / Pence (R),Trump / Pence (R),323,0.17954419,Johnson / Weld (L),Johnson / Weld (L),28,0.0155642,Stein / Baraka (G),Stein / Baraka (G),11,0.00611451,McMullin / Johnson (I),McMullin / Johnson (I),44,0.02445803,0.000213325542157,0.062464498829774
51,305,EL NIDO,Fairfax,2016-11-17T10:58:50.000Z,stulad,305,EL NIDO,Fairfax County,Clinton / Kaine (D),0.22424242,10,1980,1290,1980,Clinton / Kaine (D),Clinton / Kaine (D),813,0.41060606,Trump / Pence (R),Trump / Pence (R),369,0.18636364,Johnson / Weld (L),Johnson / Weld (L),29,0.01464646,Stein / Baraka (G),Stein / Baraka (G),9,0.00454545,McMullin / Johnson (I),McMullin / Johnson (I),36,0.01818182,0.000249600491405,0.097177459058349
52,318,WESTMORELAND,Fairfax,2016-11-17T10:58:50.000Z,stulad,318,WESTMORELAND,Fairfax County,Clinton / Kaine (D),0.19983949,10,1246,868,1246,Clinton / Kaine (D),Clinton / Kaine (D),516,0.4141252,Trump / Pence (R),Trump / Pence (R),267,0.21428571,Johnson / Weld (L),Johnson / Weld (L),28,0.02247191,Stein / Baraka (G),Stein / Baraka (G),9,0.00722311,McMullin / Johnson (I),McMullin / Johnson (I),22,0.0176565,0.000147232974575,0.056813309071264
53,302,CHESTERBROOK,Fairfax,2016-11-17T10:58:50.000Z,stulad,302,CHESTERBROOK,Fairfax County,Clinton / Kaine (D),0.18849978,10,2313,1516,2313,Clinton / Kaine (D),Clinton / Kaine (D),911,0.39386079,Trump / Pence (R),Trump / Pence (R),475,0.205361,Johnson / Weld (L),Johnson / Weld (L),40,0.01729356,Stein / Baraka (G),Stein / Baraka (G),4,0.00172936,McMullin / Johnson (I),McMullin / Johnson (I),39,0.01686122,0.000305871037427,0.080796230568649
54,301,CHAIN BRIDGE,Fairfax,2016-11-17T10:58:50.000Z,stulad,301,CHAIN BRIDGE,Fairfax County,Clinton / Kaine (D),0.1000351,10,2849,1743,2849,Clinton / Kaine (D),Clinton / Kaine (D),941,0.33029133,Trump / Pence (R),Trump / Pence (R),656,0.23025623,Johnson / Weld (L),Johnson / Weld (L),40,0.01404001,Stein / Baraka (G),Stein / Baraka (G),14,0.004914,McMullin / Johnson (I),McMullin / Johnson (I),31,0.01088101,0.000523093164709,0.181649304010219
55,323,SHOUSE,Fairfax,2016-11-17T10:58:50.000Z,stulad,323,SHOUSE,Fairfax County,Clinton / Kaine (D),0.17665615,10,1902,1378,1902,Clinton / Kaine (D),Clinton / Kaine (D),807,0.42429022,Trump / Pence (R),Trump / Pence (R),471,0.24763407,Johnson / Weld (L),Johnson / Weld (L),40,0.02103049,Stein / Baraka (G),Stein / Baraka (G),7,0.00368034,McMullin / Johnson (I),McMullin / Johnson (I),17,0.00893796,0.000471796109995,0.09938233701174
56,240,COLVIN,Fairfax,2016-11-17T10:58:50.000Z,stulad,240,COLVIN,Fairfax County,Clinton / Kaine (D),0.10772076,10,2163,1577,2163,Clinton / Kaine (D),Clinton / Kaine (D),844,0.3901988,Trump / Pence (R),Trump / Pence (R),611,0.28247804,Johnson / Weld (L),Johnson / Weld (L),41,0.01895515,Stein / Baraka (G),Stein / Baraka (G),4,0.00184928,McMullin / Johnson (I),McMullin / Johnson (I),29,0.0134073,0.000818809110502,0.144118563290711
57,322,FORESTVILLE,Fairfax,2016-11-17T10:58:50.000Z,stulad,322,FORESTVILLE,Fairfax County,Trump / Pence (R),0.01494768,0,2676,1947,2676,Clinton / Kaine (D),Clinton / Kaine (D),870,0.32511211,Trump / Pence (R),Trump / Pence (R),910,0.34005979,Johnson / Weld (L),Johnson / Weld (L),49,0.01831091,Stein / Baraka (G),Stein / Baraka (G),16,0.00597907,McMullin / Johnson (I),McMullin / Johnson (I),34,0.01270553,0.001785037261651,0.234063246883395
58,419,LANE,Fairfax,2016-11-17T10:58:50.000Z,stulad,419,LANE,Fairfax County,Clinton / Kaine (D),0.38503254,30,2766,2161,2766,Clinton / Kaine (D),Clinton / Kaine (D),1533,0.55422993,Trump / Pence (R),Trump / Pence (R),468,0.1691974,Johnson / Weld (L),Johnson / Weld (L),58,0.02096891,Stein / Baraka (G),Stein / Baraka (G),26,0.00939986,McMullin / Johnson (I),McMullin / Johnson (I),46,0.01663051,0.000276233580144,0.08998457413958
59,710,PINE SPRING,Fairfax,2016-11-17T10:58:50.000Z,stulad,710,PINE SPRING,Fairfax County,Clinton / Kaine (D),0.37295298,30,1893,1565,1893,Clinton / Kaine (D),Clinton / Kaine (D),1057,0.55837295,Trump / Pence (R),Trump / Pence (R),351,0.18541997,Johnson / Weld (L),Johnson / Weld (L),61,0.03222398,Stein / Baraka (G),Stein / Baraka (G),14,0.00739567,McMullin / Johnson (I),McMullin / Johnson (I),47,0.02482831,0.000197235484369,0.063173303590136
60,221,HUNTERS WOODS,Fairfax,2016-11-17T10:58:50.000Z,stulad,221,HUNTERS WOODS,Fairfax County,Clinton / Kaine (D),0.25145712,10,2402,1712,2402,Clinton / Kaine (D),Clinton / Kaine (D),1103,0.45920067,Trump / Pence (R),Trump / Pence (R),499,0.20774355,Johnson / Weld (L),Johnson / Weld (L),44,0.01831807,Stein / Baraka (G),Stein / Baraka (G),7,0.00291424,McMullin / Johnson (I),McMullin / Johnson (I),23,0.00957535,0.000702131052307,0.183049653431881
61,219,WESTBRIAR,Fairfax,2016-11-17T10:58:50.000Z,stulad,219,WESTBRIAR,Fairfax County,Clinton / Kaine (D),0.24582908,10,2937,2210,2937,Clinton / Kaine (D),Clinton / Kaine (D),1373,0.46748383,Trump / Pence (R),Trump / Pence (R),651,0.22165475,Johnson / Weld (L),Johnson / Weld (L),80,0.02723868,Stein / Baraka (G),Stein / Baraka (G),9,0.00306435,McMullin / Johnson (I),McMullin / Johnson (I),47,0.01600272,0.000491259087574,0.147150883646478
62,120,SIDEBURN,Fairfax,2016-11-17T10:58:50.000Z,stulad,120,SIDEBURN,Fairfax County,Clinton / Kaine (D),0.08788774,2,2708,2068,2708,Clinton / Kaine (D),Clinton / Kaine (D),1061,0.39180207,Trump / Pence (R),Trump / Pence (R),823,0.30391433,Johnson / Weld (L),Johnson / Weld (L),61,0.02252585,Stein / Baraka (G),Stein / Baraka (G),18,0.00664697,McMullin / Johnson (I),McMullin / Johnson (I),45,0.01661743,0.000300414611998,0.089170058018032
63,522,CAMELOT,Fairfax,2016-11-17T10:58:50.000Z,stulad,522,CAMELOT,Fairfax County,Clinton / Kaine (D),0.15131579,10,1216,970,1216,Clinton / Kaine (D),Clinton / Kaine (D),538,0.44243421,Trump / Pence (R),Trump / Pence (R),354,0.29111842,Johnson / Weld (L),Johnson / Weld (L),29,0.02384868,Stein / Baraka (G),Stein / Baraka (G),6,0.00493421,McMullin / Johnson (I),McMullin / Johnson (I),21,0.01726974,0.000248094496212,0.07379573995139
64,223,GLADE,Fairfax,2016-11-17T10:58:50.000Z,stulad,223,GLADE,Fairfax County,Clinton / Kaine (D),0.3592233,30,3193,2498,3193,Clinton / Kaine (D),Clinton / Kaine (D),1708,0.53492014,Trump / Pence (R),Trump / Pence (R),561,0.17569684,Johnson / Weld (L),Johnson / Weld (L),93,0.02912621,Stein / Baraka (G),Stein / Baraka (G),24,0.00751644,McMullin / Johnson (I),McMullin / Johnson (I),66,0.02067022,0.000398611171051,0.165643685059483
65,409,PIONEER,Fairfax,2016-11-17T10:58:50.000Z,stulad,409,PIONEER,Fairfax County,Clinton / Kaine (D),0.38714044,30,2955,2478,2955,Clinton / Kaine (D),Clinton / Kaine (D),1743,0.58984772,Trump / Pence (R),Trump / Pence (R),599,0.20270728,Johnson / Weld (L),Johnson / Weld (L),42,0.0142132,Stein / Baraka (G),Stein / Baraka (G),23,0.00778342,McMullin / Johnson (I),McMullin / Johnson (I),30,0.01015228,0.000676454925585,0.204631490222625
66,519,HUMMER,Fairfax,2016-11-17T10:58:50.000Z,stulad,519,HUMMER,Fairfax County,Clinton / Kaine (D),0.25494071,10,1518,1214,1518,Clinton / Kaine (D),Clinton / Kaine (D),761,0.50131752,Trump / Pence (R),Trump / Pence (R),374,0.24637681,Johnson / Weld (L),Johnson / Weld (L),32,0.02108037,Stein / Baraka (G),Stein / Baraka (G),8,0.00527009,McMullin / Johnson (I),McMullin / Johnson (I),20,0.01317523,0.000219733976539,0.062214371735675
67,625,LORTON CENTER,Fairfax,2016-11-17T10:58:50.000Z,stulad,625,LORTON CENTER,Fairfax County,Clinton / Kaine (D),0.26858108,10,1776,1308,1776,Clinton / Kaine (D),Clinton / Kaine (D),843,0.47466216,Trump / Pence (R),Trump / Pence (R),366,0.20608108,Johnson / Weld (L),Johnson / Weld (L),33,0.01858108,Stein / Baraka (G),Stein / Baraka (G),19,0.0106982,McMullin / Johnson (I),McMullin / Johnson (I),22,0.01238739,0.00039428633394,0.105930824495871
68,510,PARKLAWN,Fairfax,2016-11-17T10:58:50.000Z,stulad,510,PARKLAWN,Fairfax County,Clinton / Kaine (D),0.30955056,30,1780,1427,1780,Clinton / Kaine (D),Clinton / Kaine (D),948,0.53258427,Trump / Pence (R),Trump / Pence (R),397,0.22303371,Johnson / Weld (L),Johnson / Weld (L),24,0.01348315,Stein / Baraka (G),Stein / Baraka (G),18,0.01011236,McMullin / Johnson (I),McMullin / Johnson (I),17,0.00955056,0.000242675024372,0.082838707649131
69,845,FOUNTAINHEAD,Fairfax,2016-11-17T10:58:50.000Z,stulad,845,FOUNTAINHEAD,Fairfax County,Trump / Pence (R),0.00791093,0,3413,2463,3413,Clinton / Kaine (D),Clinton / Kaine (D),1136,0.332845,Trump / Pence (R),Trump / Pence (R),1163,0.34075593,Johnson / Weld (L),Johnson / Weld (L),72,0.02109581,Stein / Baraka (G),Stein / Baraka (G),8,0.00234398,McMullin / Johnson (I),McMullin / Johnson (I),31,0.00908292,0.003273016794897,0.311825754177069
70,838,SANGSTER,Fairfax,2016-11-17T10:58:50.000Z,stulad,838,SANGSTER,Fairfax County,Clinton / Kaine (D),0.10103093,10,1940,1385,1940,Clinton / Kaine (D),Clinton / Kaine (D),736,0.37938144,Trump / Pence (R),Trump / Pence (R),540,0.27835052,Johnson / Weld (L),Johnson / Weld (L),37,0.01907216,Stein / Baraka (G),Stein / Baraka (G),7,0.00360825,McMullin / Johnson (I),McMullin / Johnson (I),28,0.01443299,0.000224811212794,0.087229617774728
71,126,BONNIE BRAE,Fairfax,2016-11-17T10:58:50.000Z,stulad,126,BONNIE BRAE,Fairfax County,Clinton / Kaine (D),0.2818135,10,1941,1588,1941,Clinton / Kaine (D),Clinton / Kaine (D),997,0.51365276,Trump / Pence (R),Trump / Pence (R),450,0.23183926,Johnson / Weld (L),Johnson / Weld (L),67,0.03451829,Stein / Baraka (G),Stein / Baraka (G),18,0.00927357,McMullin / Johnson (I),McMullin / Johnson (I),30,0.01545595,0.00016934377046,0.05889902496974
72,726,MAGARITY,Fairfax,2016-11-17T10:58:50.000Z,stulad,726,MAGARITY,Fairfax County,Clinton / Kaine (D),0.3218707,30,2908,2200,2908,Clinton / Kaine (D),Clinton / Kaine (D),1469,0.50515818,Trump / Pence (R),Trump / Pence (R),533,0.18328748,Johnson / Weld (L),Johnson / Weld (L),64,0.02200825,Stein / Baraka (G),Stein / Baraka (G),30,0.01031637,McMullin / Johnson (I),McMullin / Johnson (I),62,0.0213205,0.000218019022283,0.065398353980428
73,901,CENTRE RIDGE,Fairfax,2016-11-17T10:58:50.000Z,stulad,901,CENTRE RIDGE,Fairfax County,Clinton / Kaine (D),0.31461115,30,2546,2110,2546,Clinton / Kaine (D),Clinton / Kaine (D),1379,0.54163394,Trump / Pence (R),Trump / Pence (R),578,0.22702278,Johnson / Weld (L),Johnson / Weld (L),71,0.02788688,Stein / Baraka (G),Stein / Baraka (G),29,0.01139042,McMullin / Johnson (I),McMullin / Johnson (I),31,0.01217596,0.000233185293092,0.076842633164072
74,424,HUNTLEY,Fairfax,2016-11-17T10:58:50.000Z,stulad,424,HUNTLEY,Fairfax County,Clinton / Kaine (D),0.27949753,10,2229,1732,2229,Clinton / Kaine (D),Clinton / Kaine (D),1110,0.49798116,Trump / Pence (R),Trump / Pence (R),487,0.21848362,Johnson / Weld (L),Johnson / Weld (L),59,0.02646927,Stein / Baraka (G),Stein / Baraka (G),9,0.00403769,McMullin / Johnson (I),McMullin / Johnson (I),37,0.01659937,0.000782166452495,0.139818835134136
75,523,POE,Fairfax,2016-11-17T10:58:50.000Z,stulad,523,POE,Fairfax County,Clinton / Kaine (D),0.28178854,10,2147,1633,2147,Clinton / Kaine (D),Clinton / Kaine (D),1066,0.49650675,Trump / Pence (R),Trump / Pence (R),461,0.21471821,Johnson / Weld (L),Johnson / Weld (L),34,0.01583605,Stein / Baraka (G),Stein / Baraka (G),13,0.00605496,McMullin / Johnson (I),McMullin / Johnson (I),23,0.01071262,0.000303098292501,0.076383694808195
76,707,MANTUA,Fairfax,2016-11-17T10:58:50.000Z,stulad,707,MANTUA,Fairfax County,Clinton / Kaine (D),0.23100459,10,1961,1409,1961,Clinton / Kaine (D),Clinton / Kaine (D),884,0.45079041,Trump / Pence (R),Trump / Pence (R),431,0.21978582,Johnson / Weld (L),Johnson / Weld (L),34,0.01733809,Stein / Baraka (G),Stein / Baraka (G),11,0.00560938,McMullin / Johnson (I),McMullin / Johnson (I),23,0.01172871,0.000348580762627,0.08823329955007
77,918,CENTREVILLE,Fairfax,2016-11-17T10:58:50.000Z,stulad,918,CENTREVILLE,Fairfax County,Clinton / Kaine (D),0.29642546,10,3441,2861,3441,Clinton / Kaine (D),Clinton / Kaine (D),1821,0.52920663,Trump / Pence (R),Trump / Pence (R),801,0.23278117,Johnson / Weld (L),Johnson / Weld (L),105,0.03051439,Stein / Baraka (G),Stein / Baraka (G),30,0.0087184,McMullin / Johnson (I),McMullin / Johnson (I),61,0.0177274,0.000263967214759,0.078167043300491
78,708,MARSHALL,Fairfax,2016-11-17T10:58:50.000Z,stulad,708,MARSHALL,Fairfax County,Clinton / Kaine (D),0.38448147,30,4021,3056,4021,Clinton / Kaine (D),Clinton / Kaine (D),2171,0.53991544,Trump / Pence (R),Trump / Pence (R),625,0.15543397,Johnson / Weld (L),Johnson / Weld (L),101,0.02511813,Stein / Baraka (G),Stein / Baraka (G),36,0.008953,McMullin / Johnson (I),McMullin / Johnson (I),67,0.01666252,0.000321643790594,0.087746126242232
79,216,VIENNA #4,Fairfax,2016-11-17T10:58:50.000Z,stulad,216,VIENNA #4,Fairfax County,Clinton / Kaine (D),0.28961334,10,1319,1084,1319,Clinton / Kaine (D),Clinton / Kaine (D),692,0.52463988,Trump / Pence (R),Trump / Pence (R),310,0.23502654,Johnson / Weld (L),Johnson / Weld (L),33,0.02501895,Stein / Baraka (G),Stein / Baraka (G),8,0.0060652,McMullin / Johnson (I),McMullin / Johnson (I),25,0.01895375,0.000138901763957,0.066115255439281
80,517,WILLSTON,Fairfax,2016-11-17T10:58:50.000Z,stulad,517,WILLSTON,Fairfax County,Clinton / Kaine (D),0.47619048,30,1470,1242,1470,Clinton / Kaine (D),Clinton / Kaine (D),935,0.63605442,Trump / Pence (R),Trump / Pence (R),235,0.15986395,Johnson / Weld (L),Johnson / Weld (L),28,0.01904762,Stein / Baraka (G),Stein / Baraka (G),14,0.00952381,McMullin / Johnson (I),McMullin / Johnson (I),15,0.01020408,0.000109312605885,0.064482020130538
81,227,SUNRISE VALLEY,Fairfax,2016-11-17T10:58:50.000Z,stulad,227,SUNRISE VALLEY,Fairfax County,Clinton / Kaine (D),0.22931596,10,1535,1141,1535,Clinton / Kaine (D),Clinton / Kaine (D),700,0.45602606,Trump / Pence (R),Trump / Pence (R),348,0.2267101,Johnson / Weld (L),Johnson / Weld (L),26,0.01693811,Stein / Baraka (G),Stein / Baraka (G),10,0.00651466,McMullin / Johnson (I),McMullin / Johnson (I),23,0.01498371,0.000395019955776,0.105371754638852
82,733,KILMER,Fairfax,2016-11-17T10:58:50.000Z,stulad,733,KILMER,Fairfax County,Clinton / Kaine (D),0.31600587,30,3405,2458,3405,Clinton / Kaine (D),Clinton / Kaine (D),1682,0.49397944,Trump / Pence (R),Trump / Pence (R),606,0.17797357,Johnson / Weld (L),Johnson / Weld (L),64,0.01879589,Stein / Baraka (G),Stein / Baraka (G),25,0.00734214,McMullin / Johnson (I),McMullin / Johnson (I),35,0.010279,0.000333196243649,0.088081856550572
83,925,OLD MILL,Fairfax,2016-11-17T10:58:50.000Z,stulad,925,OLD MILL,Fairfax County,Clinton / Kaine (D),0.1833887,10,1505,1265,1505,Clinton / Kaine (D),Clinton / Kaine (D),722,0.47973422,Trump / Pence (R),Trump / Pence (R),446,0.29634551,Johnson / Weld (L),Johnson / Weld (L),52,0.0345515,Stein / Baraka (G),Stein / Baraka (G),12,0.00797342,McMullin / Johnson (I),McMullin / Johnson (I),20,0.01328904,0.000600905139736,0.141285418320652
84,418,LYNBROOK,Fairfax,2016-11-17T10:58:50.000Z,stulad,418,LYNBROOK,Fairfax County,Clinton / Kaine (D),0.4222361,30,1601,1425,1601,Clinton / Kaine (D),Clinton / Kaine (D),1008,0.6296065,Trump / Pence (R),Trump / Pence (R),332,0.20737039,Johnson / Weld (L),Johnson / Weld (L),38,0.02373517,Stein / Baraka (G),Stein / Baraka (G),12,0.00749532,McMullin / Johnson (I),McMullin / Johnson (I),24,0.01499063,0.000224409826194,0.080705573456795
85,713,TIMBER LANE,Fairfax,2016-11-17T10:58:50.000Z,stulad,713,TIMBER LANE,Fairfax County,Clinton / Kaine (D),0.38606848,30,2541,2025,2541,Clinton / Kaine (D),Clinton / Kaine (D),1426,0.56119638,Trump / Pence (R),Trump / Pence (R),445,0.1751279,Johnson / Weld (L),Johnson / Weld (L),53,0.02085793,Stein / Baraka (G),Stein / Baraka (G),20,0.00787092,McMullin / Johnson (I),McMullin / Johnson (I),44,0.01731602,0.00030871464332,0.091624091884546
86,615,WOODLEY,Fairfax,2016-11-17T10:58:50.000Z,stulad,615,WOODLEY,Fairfax County,Clinton / Kaine (D),0.19958592,10,2415,1802,2415,Clinton / Kaine (D),Clinton / Kaine (D),1068,0.44223602,Trump / Pence (R),Trump / Pence (R),586,0.2426501,Johnson / Weld (L),Johnson / Weld (L),48,0.01987578,Stein / Baraka (G),Stein / Baraka (G),13,0.00538302,McMullin / Johnson (I),McMullin / Johnson (I),35,0.01449275,0.000346941844908,0.088496776034232
87,824,ORANGE,Fairfax,2016-11-17T10:58:50.000Z,stulad,824,ORANGE,Fairfax County,Clinton / Kaine (D),0.14226066,10,3353,2600,3353,Clinton / Kaine (D),Clinton / Kaine (D),1421,0.42379958,Trump / Pence (R),Trump / Pence (R),944,0.28153892,Johnson / Weld (L),Johnson / Weld (L),90,0.02684163,Stein / Baraka (G),Stein / Baraka (G),22,0.00656129,McMullin / Johnson (I),McMullin / Johnson (I),71,0.02117507,0.000305513712891,0.081914400652528
88,711,PRICE,Fairfax,2016-11-17T10:58:50.000Z,stulad,711,PRICE,Fairfax County,Clinton / Kaine (D),0.23358512,10,1721,1328,1721,Clinton / Kaine (D),Clinton / Kaine (D),813,0.47239977,Trump / Pence (R),Trump / Pence (R),411,0.23881464,Johnson / Weld (L),Johnson / Weld (L),43,0.02498547,Stein / Baraka (G),Stein / Baraka (G),10,0.00581058,McMullin / Johnson (I),McMullin / Johnson (I),22,0.01278327,0.000216267276271,0.074980880355293
89,612,WAYNEWOOD,Fairfax,2016-11-17T10:58:50.000Z,stulad,612,WAYNEWOOD,Fairfax County,Clinton / Kaine (D),0.18642682,10,1223,901,1223,Clinton / Kaine (D),Clinton / Kaine (D),531,0.43417825,Trump / Pence (R),Trump / Pence (R),303,0.24775143,Johnson / Weld (L),Johnson / Weld (L),21,0.01717089,Stein / Baraka (G),Stein / Baraka (G),3,0.00245298,McMullin / Johnson (I),McMullin / Johnson (I),19,0.01553557,0.000116333507106,0.044620690681041
90,507,LINCOLNIA,Fairfax,2016-11-17T10:58:50.000Z,stulad,507,LINCOLNIA,Fairfax County,Clinton / Kaine (D),0.36204934,30,2635,1977,2635,Clinton / Kaine (D),Clinton / Kaine (D),1402,0.53206831,Trump / Pence (R),Trump / Pence (R),448,0.17001898,Johnson / Weld (L),Johnson / Weld (L),50,0.01897533,Stein / Baraka (G),Stein / Baraka (G),16,0.00607211,McMullin / Johnson (I),McMullin / Johnson (I),31,0.01176471,0.000291122141542,0.084034205713289
91,911,NAVY,Fairfax,2016-11-17T10:58:50.000Z,stulad,911,NAVY,Fairfax County,Clinton / Kaine (D),0.17792032,10,2962,2118,2962,Clinton / Kaine (D),Clinton / Kaine (D),1251,0.42234976,Trump / Pence (R),Trump / Pence (R),724,0.24442944,Johnson / Weld (L),Johnson / Weld (L),50,0.01688049,Stein / Baraka (G),Stein / Baraka (G),16,0.00540176,McMullin / Johnson (I),McMullin / Johnson (I),36,0.01215395,0.000400140872669,0.10067565919445
92,226,WOLFTRAP,Fairfax,2016-11-17T10:58:50.000Z,stulad,226,WOLFTRAP,Fairfax County,Clinton / Kaine (D),0.18256579,10,3040,2279,3040,Clinton / Kaine (D),Clinton / Kaine (D),1297,0.42664474,Trump / Pence (R),Trump / Pence (R),742,0.24407895,Johnson / Weld (L),Johnson / Weld (L),79,0.02598684,Stein / Baraka (G),Stein / Baraka (G),13,0.00427632,McMullin / Johnson (I),McMullin / Johnson (I),71,0.02335526,0.000598790549015,0.149501780528728
93,115,RAVENSWORTH,Fairfax,2016-11-17T10:58:50.000Z,stulad,115,RAVENSWORTH,Fairfax County,Clinton / Kaine (D),0.20629371,10,1430,1243,1430,Clinton / Kaine (D),Clinton / Kaine (D),716,0.5006993,Trump / Pence (R),Trump / Pence (R),421,0.29440559,Johnson / Weld (L),Johnson / Weld (L),51,0.03566434,Stein / Baraka (G),Stein / Baraka (G),8,0.00559441,McMullin / Johnson (I),McMullin / Johnson (I),30,0.02097902,0.000260949522724,0.073085238150182
94,704,FREEDOM HILL,Fairfax,2016-11-17T10:58:50.000Z,stulad,704,FREEDOM HILL,Fairfax County,Clinton / Kaine (D),0.26042231,10,1847,1417,1847,Clinton / Kaine (D),Clinton / Kaine (D),904,0.48944234,Trump / Pence (R),Trump / Pence (R),423,0.22902003,Johnson / Weld (L),Johnson / Weld (L),29,0.01570114,Stein / Baraka (G),Stein / Baraka (G),13,0.00703844,McMullin / Johnson (I),McMullin / Johnson (I),14,0.00757986,0.000255990088941,0.085936399004277
95,622,LORTON STATION,Fairfax,2016-11-17T10:58:50.000Z,stulad,622,LORTON STATION,Fairfax County,Clinton / Kaine (D),0.41341377,30,2818,2184,2818,Clinton / Kaine (D),Clinton / Kaine (D),1616,0.57345635,Trump / Pence (R),Trump / Pence (R),451,0.16004258,Johnson / Weld (L),Johnson / Weld (L),47,0.0166785,Stein / Baraka (G),Stein / Baraka (G),18,0.00638751,McMullin / Johnson (I),McMullin / Johnson (I),30,0.01064585,0.000254238611157,0.076204053348623
96,321,CLEARVIEW,Fairfax,2016-11-17T10:58:50.000Z,stulad,321,CLEARVIEW,Fairfax County,Clinton / Kaine (D),0.17053126,10,3407,2668,3407,Clinton / Kaine (D),Clinton / Kaine (D),1498,0.43968301,Trump / Pence (R),Trump / Pence (R),917,0.26915175,Johnson / Weld (L),Johnson / Weld (L),91,0.02670972,Stein / Baraka (G),Stein / Baraka (G),20,0.00587027,McMullin / Johnson (I),McMullin / Johnson (I),92,0.02700323,0.000278748041048,0.099291539125945
97,325,HUTCHISON,Fairfax,2016-11-17T10:58:50.000Z,stulad,325,HUTCHISON,Fairfax County,Clinton / Kaine (D),0.48141696,30,1722,1493,1722,Clinton / Kaine (D),Clinton / Kaine (D),1118,0.64924506,Trump / Pence (R),Trump / Pence (R),289,0.16782811,Johnson / Weld (L),Johnson / Weld (L),36,0.02090592,Stein / Baraka (G),Stein / Baraka (G),17,0.00987224,McMullin / Johnson (I),McMullin / Johnson (I),13,0.00754936,0.000157549653334,0.055687279278752
98,329,SENECA,Fairfax,2016-11-17T10:58:50.000Z,stulad,329,SENECA,Fairfax County,Clinton / Kaine (D),0.05694683,2,2915,2124,2915,Clinton / Kaine (D),Clinton / Kaine (D),1076,0.36912521,Trump / Pence (R),Trump / Pence (R),910,0.31217839,Johnson / Weld (L),Johnson / Weld (L),50,0.01715266,Stein / Baraka (G),Stein / Baraka (G),12,0.00411664,McMullin / Johnson (I),McMullin / Johnson (I),25,0.00857633,0.001837616372393,0.195317880443397
99,203,FLORIS,Fairfax,2016-11-17T10:58:50.000Z,stulad,203,FLORIS,Fairfax County,Clinton / Kaine (D),0.19074247,10,3219,2425,3219,Clinton / Kaine (D),Clinton / Kaine (D),1450,0.45045045,Trump / Pence (R),Trump / Pence (R),836,0.25970798,Johnson / Weld (L),Johnson / Weld (L),53,0.01646474,Stein / Baraka (G),Stein / Baraka (G),22,0.00683442,McMullin / Johnson (I),McMullin / Johnson (I),30,0.00931966,0.000379386312638,0.124355384560333
100,320,HERNDON #2,Fairfax,2016-11-17T10:58:50.000Z,stulad,320,HERNDON #2,Fairfax County,Clinton / Kaine (D),0.35830325,30,3324,2745,3324,Clinton / Kaine (D),Clinton / Kaine (D),1870,0.56257521,Trump / Pence (R),Trump / Pence (R),679,0.20427196,Johnson / Weld (L),Johnson / Weld (L),90,0.02707581,Stein / Baraka (G),Stein / Baraka (G),20,0.00601685,McMullin / Johnson (I),McMullin / Johnson (I),50,0.01504212,0.00035264444231,0.090512888137517
